VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-03 15:11:43,2023-01-03 15:15:30,1.0,0.88,1.0,N,164,234,1,6.5,0.0,0.5,1.25,0.0,1.0,11.75,2.5,0.0
1,2023-01-14 19:09:07,2023-01-14 19:15:13,1.0,1.4,1.0,N,237,43,1,9.3,2.5,0.5,1.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-27 14:07:20,2023-01-27 14:13:53,1.0,0.77,1.0,N,230,163,1,7.9,0.0,0.5,3.0,0.0,1.0,14.9,2.5,0.0
2,2023-01-20 02:41:20,2023-01-20 03:13:49,1.0,8.34,1.0,N,114,166,1,40.1,1.0,0.5,6.76,0.0,1.0,51.86,2.5,0.0
2,2023-01-23 22:49:14,2023-01-23 22:57:05,1.0,1.57,1.0,N,236,239,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2023-01-13 14:28:02,2023-01-13 14:36:17,0.0,1.3,1.0,N,162,234,2,10.0,2.5,0.5,0.0,0.0,1.0,14.0,2.5,0.0
2,2023-01-21 17:13:42,2023-01-21 17:43:46,1.0,5.6,1.0,N,12,230,1,31.0,0.0,0.5,7.0,0.0,1.0,42.0,2.5,0.0
2,2023-01-31 18:06:20,2023-01-31 18:18:38,1.0,1.61,1.0,N,170,237,1,12.8,2.5,0.5,3.86,0.0,1.0,23.16,2.5,0.0
2,2023-01-05 18:40:50,2023-01-05 18:48:51,1.0,1.67,1.0,N,264,237,1,10.7,2.5,0.5,2.94,0.0,1.0,17.64,0.0,0.0
1,2023-01-31 16:14:43,2023-01-31 16:34:03,1.0,3.4,1.0,N,142,152,1,18.4,5.0,0.5,6.25,0.0,1.0,31.15,2.5,0.0
1,2023-01-17 20:53:39,2023-01-17 20:56:15,2.0,0.6,1.0,N,237,236,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0
1,2023-01-06 13:33:48,2023-01-06 13:38:31,1.0,0.4,1.0,N,237,237,2,5.8,2.5,0.5,0.0,0.0,1.0,9.8,2.5,0.0
2,2023-01-09 14:29:55,2023-01-09 14:39:33,1.0,1.7,1.0,N,161,90,1,10.7,0.0,0.5,2.2,0.0,1.0,16.9,2.5,0.0
1,2023-01-14 02:33:42,2023-01-14 02:41:02,2.0,1.8,1.0,N,249,209,1,10.7,3.5,0.5,3.1,0.0,1.0,18.8,2.5,0.0
2,2023-01-27 11:38:34,2023-01-27 11:54:07,1.0,2.16,1.0,N,170,142,2,15.6,0.0,0.5,0.0,0.0,1.0,19.6,2.5,0.0
2,2023-01-25 13:30:58,2023-01-25 13:41:10,1.0,0.93,1.0,N,161,170,2,10.0,0.0,0.5,0.0,0.0,1.0,14.0,2.5,0.0
2,2023-01-09 22:38:15,2023-01-09 22:47:55,2.0,2.06,1.0,N,144,79,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2023-01-04 12:54:36,2023-01-04 13:06:50,1.0,2.43,1.0,N,263,24,2,14.2,0.0,0.5,0.0,0.0,1.0,18.2,2.5,0.0
2,2023-01-21 23:04:09,2023-01-21 23:41:30,1.0,13.4,1.0,N,132,61,1,56.9,1.0,0.5,11.88,0.0,1.0,72.53,0.0,1.25
2,2023-01-10 07:47:45,2023-01-10 07:56:47,2.0,1.39,1.0,N,237,236,1,10.0,0.0,0.5,1.4,0.0,1.0,15.4,2.5,0.0
2,2023-01-08 04:29:39,2023-01-08 04:35:06,6.0,0.95,1.0,N,237,141,3,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
1,2023-01-29 12:36:14,2023-01-29 12:45:16,1.0,2.1,1.0,N,162,79,1,12.1,2.5,0.5,3.2,0.0,1.0,19.3,2.5,0.0
2,2023-01-26 16:07:57,2023-01-26 16:15:20,2.0,0.94,1.0,N,170,229,1,8.6,2.5,0.5,1.51,0.0,1.0,16.61,2.5,0.0
2,2023-01-17 19:57:56,2023-01-17 20:06:21,1.0,1.23,1.0,N,100,163,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
1,2023-01-26 16:01:00,2023-01-26 16:08:59,1.0,1.0,1.0,N,90,114,1,7.9,5.0,0.5,2.9,0.0,1.0,17.3,2.5,0.0
2,2023-01-03 06:39:53,2023-01-03 07:09:14,2.0,10.51,4.0,N,132,265,1,63.9,0.0,0.5,13.0,0.0,1.0,79.65,0.0,1.25
2,2023-01-17 16:08:01,2023-01-17 17:01:58,1.0,19.31,2.0,N,132,141,2,70.0,5.0,0.5,0.0,6.55,1.0,86.8,2.5,1.25
1,2023-01-17 08:28:33,2023-01-17 08:31:43,1.0,0.6,1.0,N,234,113,1,5.8,2.5,0.5,1.95,0.0,1.0,11.75,2.5,0.0
2,2023-01-31 16:09:53,2023-01-31 16:44:19,1.0,3.5,1.0,N,141,145,1,30.3,0.0,0.5,3.0,0.0,1.0,37.3,2.5,0.0
2,2023-01-12 06:15:20,2023-01-12 06:20:28,1.0,1.32,1.0,N,233,141,1,7.9,1.0,0.5,1.29,0.0,1.0,14.19,2.5,0.0
2,2023-01-17 15:29:44,2023-01-17 15:51:10,1.0,3.42,1.0,N,249,237,1,21.9,0.0,0.5,2.0,0.0,1.0,27.9,2.5,0.0
2,2023-01-01 09:32:51,2023-01-01 10:03:17,3.0,25.66,2.0,N,132,209,1,70.0,0.0,0.5,16.11,6.55,1.0,97.91,2.5,1.25
2,2023-01-21 11:46:23,2023-01-21 11:59:37,1.0,3.25,1.0,N,141,79,1,16.3,0.0,0.5,4.06,0.0,1.0,24.36,2.5,0.0
2,2023-01-08 00:19:43,2023-01-08 00:27:24,1.0,1.48,1.0,N,79,137,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,2023-01-30 10:30:30,2023-01-30 10:36:16,1.0,0.8,1.0,N,90,90,2,7.2,0.0,0.5,0.0,0.0,1.0,11.2,2.5,0.0
2,2023-01-23 16:26:53,2023-01-23 16:41:27,1.0,2.03,1.0,N,170,141,1,14.9,2.5,0.5,1.0,0.0,1.0,22.4,2.5,0.0
2,2023-01-12 21:48:21,2023-01-12 22:05:07,1.0,1.68,1.0,N,186,233,1,15.6,1.0,0.5,1.0,0.0,1.0,21.6,2.5,0.0
2,2023-01-23 17:04:15,2023-01-23 17:16:49,1.0,2.13,1.0,N,237,262,1,13.5,2.5,0.5,1.0,0.0,1.0,21.0,2.5,0.0
2,2023-01-25 18:43:28,2023-01-25 18:57:44,1.0,1.04,1.0,N,230,170,2,12.8,2.5,0.5,0.0,0.0,1.0,19.3,2.5,0.0
2,2023-01-31 16:28:48,2023-01-31 16:54:28,2.0,5.13,1.0,N,88,100,1,28.2,2.5,0.5,6.94,0.0,1.0,41.64,2.5,0.0
2,2023-01-16 20:03:44,2023-01-16 20:08:53,1.0,1.1,1.0,N,186,234,1,7.2,1.0,0.5,3.05,0.0,1.0,15.25,2.5,0.0
2,2023-01-14 13:19:52,2023-01-14 13:27:51,2.0,2.1,1.0,N,79,232,2,12.1,0.0,0.5,0.0,0.0,1.0,16.1,2.5,0.0
1,2023-01-27 17:57:56,2023-01-27 18:12:11,1.0,2.0,1.0,N,141,238,1,14.9,5.0,0.5,4.25,0.0,1.0,25.65,2.5,0.0
2,2023-01-18 14:50:37,2023-01-18 14:55:49,2.0,0.83,1.0,N,264,161,1,6.5,0.0,0.5,2.1,0.0,1.0,12.6,2.5,0.0
1,2023-01-12 08:09:49,2023-01-12 08:16:07,1.0,0.9,1.0,N,79,113,1,7.2,2.5,0.5,1.0,0.0,1.0,12.2,2.5,0.0
1,2023-01-15 23:11:18,2023-01-15 23:24:16,1.0,3.1,1.0,N,234,142,1,15.6,3.5,0.5,2.0,0.0,1.0,22.6,2.5,0.0
1,2023-01-24 11:11:30,2023-01-24 11:34:32,2.0,3.4,1.0,N,113,256,1,23.3,2.5,0.5,6.8,0.0,1.0,34.1,2.5,0.0
2,2023-01-06 13:38:57,2023-01-06 13:54:25,1.0,2.37,1.0,N,239,164,1,16.3,0.0,0.5,4.06,0.0,1.0,24.36,2.5,0.0
1,2023-01-03 23:23:23,2023-01-03 23:42:30,1.0,3.9,1.0,N,249,237,1,17.7,3.5,0.5,4.55,0.0,1.0,27.25,2.5,0.0
2,2023-01-17 11:12:09,2023-01-17 11:29:36,6.0,2.29,1.0,N,164,237,1,17.0,0.0,0.5,4.2,0.0,1.0,25.2,2.5,0.0
2,2023-01-25 21:25:13,2023-01-25 21:46:30,1.0,7.06,1.0,N,233,52,1,30.3,1.0,0.5,7.06,0.0,1.0,42.36,2.5,0.0
1,2023-01-18 17:17:25,2023-01-18 17:29:26,,2.3,,,140,236,0,14.9,2.5,0.5,2.14,0.0,1.0,23.54,,
2,2023-01-02 10:56:32,2023-01-02 10:58:55,1.0,0.42,1.0,N,237,237,1,5.1,0.0,0.5,1.82,0.0,1.0,10.92,2.5,0.0
2,2023-01-21 01:36:13,2023-01-21 01:42:47,1.0,1.63,1.0,N,239,263,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2023-01-04 22:30:40,2023-01-04 22:39:31,2.0,1.75,1.0,N,239,141,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2023-01-29 12:56:51,2023-01-29 13:04:16,1.0,1.05,1.0,N,162,100,1,8.6,0.0,0.5,1.0,0.0,1.0,13.6,2.5,0.0
2,2023-01-21 15:20:20,2023-01-21 15:28:17,3.0,1.04,1.0,N,162,230,1,9.3,0.0,0.5,2.0,0.0,1.0,15.3,2.5,0.0
1,2023-01-01 20:14:31,2023-01-01 20:16:19,1.0,0.3,1.0,N,151,151,2,4.4,1.0,0.5,0.0,0.0,1.0,6.9,0.0,0.0
